File Name,Type,Creator,Comments,Category,Extension,Dup,"Data by Ilan Szekely, Jerusalem"
PowerLaunch II 1.7d,APPL,IPOH, ,Application, , ,
PowerLaunch II 2.0.1,APPL,6502, ,Application, , ,
PowerLaunch—Preferences,pref,RSSH,PowerLaunch,Pref, , ,
Powerless,APPL,pwr<, ,Application, , ,
powerline,APPL,POW!, ,Application, , ,
PowerLisp 1.2 README,TEXT,ROSA,PowerLisp FAT 1.2,Text File,TXT, ,
PowerLisp FAT 1.2,APPL,ROSA,PowerLisp FAT 1.2,Application, , ,
PowerLock,APPL,PwrL, ,Application, , ,
PowerLock,INIT,RELM,,INIT, , ,
PowerMac Crash,sfil,sfx!, ,Sound System 7, , ,
PowerMail Demo—????,PMEx,BanT,PowerMail,, , ,
PowerMail Demo—????,VTwn,BanT,PowerMail,, , ,
PowerMail Demo—Address Book,DBAd,BanT,PowerMail,, , ,
PowerMail Demo—Folder File,fold,BanT,PowerMail,Folder File, , ,
PowerMail Demo—HTML File,HTML,BanT,PowerMail,, , ,
PowerMail Demo—Import File?,TpIn,BanT,PowerMail,, , ,
PowerMail Demo—Inbox?,DBIm,BanT,PowerMail,, , ,
PowerMail Demo—Object File,DBOb,BanT,PowerMail,, , ,
PowerMail Demo—Preferences,pref,BanT,PowerMail,pref , , ,
PowerMail Demo—Text File,TEXT,BanT,PowerMail,Text File,TXT, ,
POWERmanager,APPL,MZ12, ,Application, , ,
PowerMath™ License Server3,APPL,Tsrv, ,Application, , ,
PowerMenu Controls,cdev,PmCP, ,Control Panel, , ,
PowerMenu Fat,appe,PMDa, ,Background Only Application, , ,
PowerMenu Fat,APPL,PMDa,,Application, , ,
PowerMenu Preferences,pref,PMDa, ,Pref, , ,
PowerMenuBar,cdev,PMBx, ,Control Panel, , ,
PowerMerge LEX,APPL,DWMG, ,Application, , ,
PowerMerge LEX—Disk File,disk,DWMG,PowerMerge,Disk File, , ,
PowerMerge LEX—Document,MGDC,DWMG,PowerMerge,  , , ,
PowerMerge LEX—Folder File,fold,DWMG,PowerMerge,Folder File, , ,
PowerMerge LEX—Text File,TEXT,DWMG,PowerMerge,Text File,TXT, ,
PowerMonger,APPL,PWRC, ,Application, , ,
PowerMovieEffects 1.0.6+ß (PPC),APPL,SMRT,  ,Application/Dup, ,Dup,
PowerMovieEffects 1.1ss2,APPL,PMFX, ,Application, , ,
PowerOff Scheduler,APPL,PWR0, ,Application, , ,
PowerOP™—LogFile,TEXT,PwOP,PowerOP™,Text File,TXT, ,
PowerOut v1.02,APPL,PoUT, ,Application, , ,
PowerPage® Level 2 Interpreter,shlb,PPlb, ,Shared Library, , ,
PowerPC Interrupt Extension,INIT,nfix,,INIT, , ,
PowerPC Share,INIT,YshP,,INIT, , ,
PowerPC Show,RMOV,GAST,Gaston,  , , ,
PowerPC StartUp Screen,SCRN,DAD2,Canvas,Graphics Startup Screen, , ,
PowerPCdisas,APPL,pABZ, ,Application, , ,
PowerPCheck FAT,APPL,∏Ck2,PowerPCheck 3.0.2,Application, , ,
PowerPCheck Prefs,pref,∏Ck2,PowerPCheck,Pref, , ,
PowerPeek,INIT,FrSh,,INIT, , ,
PowerPeek Reporter,APPL,FrSh, ,Application, , ,
PowerPixel Tester,APPL,PbCT, ,Application, , ,
PowerPlant+OOFILE,AMkL,AMk2,Demo AppMaker,  , , ,
Powerpoint 1,SLDS,PPNT,,,,,
PowerPoint 2.0,APPL,PPNT,"Kohshin Graphic Systems, Inc.",Application/Dup, ,Dup,
PowerPoint 2.0—Dictionary,DCT5,PPNT,PowerPoint,Dictionary, , ,
PowerPoint 2.0—Slide,SLDS,PPNT,PowerPoint,PowerPoint Document,PPT, ,
PowerPoint 2.0—User Dictionary,DCTU,PPNT,PowerPoint,Dictionary, , ,
PowerPoint 2001—????,PPX9,PPT3,PowerPoint,, , ,
PowerPoint 2001—????,PPZ9,PPT3,PowerPoint,, , ,
PowerPoint 3.0 presentation,SLD3,PPT3,PowerPoint,PowerPoint 3 Document,PPT, ,
PowerPoint 3.0 slide,SLD3,PPT3,PowerPoint, ,,,
PowerPoint 3.0—Help File,HELP,PPT3,PowerPoint,Help,,,
PowerPoint 3.0—Stationary,sLD3,PPT3,PowerPoint, ,,,
PowerPoint 3.0—Text File,TEXT,PPT3,PowerPoint,Text,,,
PowerPoint 3.0—Text File (Read Only),ttro,PPT3,PowerPoint,Read only text,TXT, ,
PowerPoint 3.0/4.0,APPL,PPT3,Application, ,,,
PowerPoint 4.0 document,SLD3,PPT3,PowerPoint, ,,,
PowerPoint 4.0 edition,edtp,PPT3,PowerPoint,Published Edition,,,
PowerPoint 4.0 prefs,pref,PPT3,PowerPoint,Pref,,,
PowerPoint 4.0 template,sLD3,PPT3,PowerPoint, ,,,
PowerPoint 4.0—????,SLDS,PPT3,PowerPoint,PowerPoint Document,PPT, ,
PowerPoint 4.0—Mail File,SLDL,PPT3,PowerPoint, ,,,
PowerPoint 4.0—RTF Import File,RTF ,PPT3,PowerPoint,Rich Text Format,RTF, ,
PowerPoint 98 files,SLD8,PPT3,PowerPoint,PowerPoint 98 Document,PPT, ,
PowerPoint 98—Add In,PPPA,PPT3,PowerPoint, , , ,
PowerPoint 98—Letter File,lttr,PPT3,PowerPoint, , , ,
PowerPoint 98—Read Only Stationary File,stro,PPT3,PowerPoint, , , ,
PowerPoint 98—RTF Stationary File,sTF ,PPT3,PowerPoint, , , ,
PowerPoint 98—Stationary Text File,sEXT,PPT3,PowerPoint,Stationary, , ,
PowerPoint document,PPP9,PPT3,PowerPoint,, , ,
PowerPoint edition,edtp,PPT3,PowerPoint,Published Edition, , ,
PowerPoint help,HELP,PPT3,PowerPoint,Help, , ,
PowerPoint letter,SLDL,PPT3,PowerPoint,  , , ,
PowerPoint outline,TEXT,PPT3,PowerPoint,Text File,TXT, ,
PowerPoint preferences,pref,PPT3,PowerPoint,Pref, , ,
PowerPoint slide show,PPSS,PPT3,PowerPoint, , , ,
PowerPoint stationary,sLD3,PPT3,PowerPoint,  , , ,
PowerPoint stationary,sLD8,PPT3,PowerPoint,PowerPoint 98 Document,PPT, ,
PowerPoint template,PPOT,PPT3,PowerPoint,  , , ,
PowerPoint template,sPOT,PPT3,PowerPoint, , , ,
PowerPoint toolbar,TTBS,PPT3,PowerPoint,Pref, , ,
PowerPoint Viewer,APPL,PPTV, ,Application, , ,
PowerPoint wizard,PPWZ,PPT3,PowerPoint, , , ,
PowerPOKER ,APPL,rdp , ,Application, , ,
PowerPOKER—Background,rdpO,rdp ,PowerPOKER,  , , ,
PowerPOKER—Balloon Help,rdpB,rdp ,PowerPOKER,Help, , ,
PowerPOKER—Color Cards,rdpC,rdp ,PowerPOKER,  , , ,
PowerPOKER—Game File,rdpG,rdp ,PowerPOKER ,  , , ,
PowerPOKER—Player file,rdpM,rdp ,PowerPOKER,  , , ,
PowerPOKER—Players,rdpP,rdp ,PowerPOKER,  , , ,
PowerPOKER—Rules file,rdpH,rdp ,PowerPOKER,  , , ,
PowerPOKER—Sounds,rdpS,rdp ,PowerPOKER,  , , ,
PowerPong,APPL,PONG,  ,Application/Game, , ,
PowerPong—Module,PPFL,PONG,PowerPong,Game, , ,
PowerPort 500,cdev,GVLs, ,Control Panel, , ,
PowerPort 500 Tool,cbnd,GVst, ,Connection Tool, , ,
PowerPrint Driver DeskJet,PRER,PPDJ, ,Chooser Extension, , ,
PowerPrint Driver Epson FX,PRER,PPFX, ,Chooser Extension, , ,
PowerPrint Driver LaserJet 5L,PRER,PP5L, ,Chooser Extension, , ,
PowerPrompter,APPL,iPmt,"Intelli Innovations, Inc.",Application,, ,
PowerPrompter—Text File,TEXT,iPmt,PowerPrompter,Text File,TXT, ,
PowerRegister,APPL,RGpp,,Application/Dup, ,Dup,
PowerReplace,APPL,EREP, ,Application, , ,
PowerReplace 5.5,APPL,EREP,Application, ,,,
PowerReplace Filter,TEXT,EREP,PowerReplace,Text File,TXT, ,
PowerReplace Help,PHlp,EREP,PowerReplace,Help, , ,
PowerReplace PlugIn,Plug,EREP,PowerReplace,Plug-in Module, , ,
PowerReplace Pref. File,pref,EREP,PowerReplace,Pref, , ,
PowerReplace—Folder File,fold,EREP,,Folder File, , ,
PowerRIPExt,DXTN,mdAW, ,Printer Description, , ,
PowerSavingDRVR,INIT,SPOW,,INIT, , ,
PowerScan 2.0.3,APPL,PScn,Application, ,,,
PowerScan 2.0.7,APPL,PScn, ,Application, , ,
PowerScan—Disk File,disk,PScn,PowerScan,Disk File, , ,
PowerScan—Folder File,fold,PScn,PowerScan,Folder File, , ,
PowerScan—Preferences,Prfs,PScn,PowerScan,Pref, , ,
PowerSecretary™,APPL,Dct8, ,Application, , ,
PowerSecretary™ HandsFree,INIT,Vino,,INIT, , ,
PowerSecretary™ HandsFree—Background A,BAKA,Vino,PowerSecretary™,  , , ,
PowerSecretary™ HandsFree—Background B,BAKB,Vino,PowerSecretary™,  , , ,
PowerSecretary™—,USR ,Dct8,PowerSecretary™,  , , ,
PowerSecretary™— Voice,VOC ,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—Background A Stationary,sAKA,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—Background B Stationary,sAKB,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—Demo,USR ,Dct8,PowerSecretary™, ,,,
PowerSecretary™—Demo Voice,VOC ,Dct8,PowerSecretary™, ,,,
PowerSecretary™—INIT,thng,Dct8,PowerSecretary™,Extension, , ,
PowerSecretary™—Pam,USRA,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—Pam Voice,VOCA,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—Pamela,USRB,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—Pamela Voice,VOCB,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—Preferences,Dct8,Dct8,PowerSecretary™,Pref, , ,
PowerSecretary™—User A Stationary,sSRA,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—User B Stationary,sSRB,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—User Stationary,sSR ,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—User Voice A Stationary,sOCA,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—User Voice B Stationary,sOCB,Dct8,PowerSecretary™,  , , ,
PowerSecretary™—User Voice Stationary,sOC ,Dct8,PowerSecretary™,  , , ,
PowerShare 1.0,APPL,FSSh, ,Application, , ,
PowerShare Admin,APPL,kl04, ,Application, , ,
PowerShare Catalog Server,APPL,kl00, ,Application, , ,
PowerShare Catalog Setup,adas,kl00,PowerShare Catalog Server,  , , ,
PowerShare Easy Setup,APPL,kl10, ,Application, , ,
PowerShare Mail Server,APPL,kl11, ,Application, , ,
PowerShare Mail Setup,snfc,kl11,PowerShare Mail Server,  , , ,
PowerSleep FKEY,FKEY,Slep, ,Fkey, , ,
PowerSMARTS.Help,TEXT,SMRT,DataSMARTS™,Text File,TXT, ,
PowerSpaceTabsPlus 1.0.1,APPL,PsTp, ,Application, , ,
PowerStrip,APPL,KMCT, ,Application, , ,
PowerStrip 3.1©,APPL,kct1, ,Application, , ,
PowerStrip—????,kmct,KMCT,PowerStrip,  , , ,
PowerStrip—Settings,text,kct1,PowerStrip,Text File,TXT, ,
PowerSwitch,cdev,BSSw,Michael F. Kamprath & Binary Software,Control Panel, , ,
PowerSwitch—Preferences,PREF,BSSw,PowerSwitch,Pref, , ,
PowerTalk Enabler,APPL,POML,"Maxsoft-OCron, Inc.",Application/Dup, ,Dup,
PowerTalk Extension,INIT,kl08, ,INIT,,,
PowerTalk Key Chain,kych,kl06,PowerTalk,  , , ,
PowerTalk Manager,appe,kl02, ,Background Only Application, , ,
PowerTalk Postprogramm,cdev,kl15, ,Control Panel, , ,
PowerTalk Setup,cdev,kl07, ,Control Panel, , ,
PowerTalk Setup Preferences,tbpf,kl02,PowerTalk Manager,Pref, , ,
PowerTalk Startup Preferences,pref,kl02,PowerTalk Manager,Pref, , ,
PowerTalk Tour,APPL,ptlk, ,Application, , ,
PowerTalk/DigiSign Extension,INIT,kl08,,INIT, , ,
PowerTalker,APPL,tlkR, ,Application, , ,
PowerTap™ ,APPL,Pdmo, ,Application, , ,
PowerTask Master—Preferences,pref,KRON,,pref , , ,
PowerTask Master—Task File,TASK,KRON,,, , ,
PowerTime,APPL,PWRT, ,Application, , ,
PowerTime v1.2,APPL,PwrT, ,Application, , ,
Power™ 1.0.2,APPL,QSPW, ,Application, , ,
PowerTools—Prefs,pref,PTX7,APS PowerTools,Pref, , ,
PowerXplorer,APPL,MPC, ,Application, , ,
PowerXplorer,APPL,MäPC,Application, ,,,
Pozz.app v1.0,APPL,pozz, ,Application, , ,
pp mouse,INIT,ppms,,INIT, , ,
PP Prefs,Pref,SCPG,Personal Press™,Pref, , ,
PP Translator 8-4,APPL,PP84,Microsoft Corporation,Application, , ,
PP.RSC,DATA,PPD ,Peter Pan ,Data File, , ,
PP2web,APPL,PP2W,Terry Judd,Application, , ,
PPAGE V1.1b,APPL,PPAG, ,Application, , ,
ppat Tool 1.0,APPL,B425, ,Application, , ,
PPC Clock Speed,APPL,PpCS, ,Application, , ,
PPC Debugger Nub,INIT,nubi,,INIT, , ,
PPCGalleryDemo,APPL,Tri0,Taro's Factory,Application, , ,
ppcpatches.rsrc,±±±±,XNST,QuarkXPress™ Updater,  , ,Dup,
PPCTraceEnabler,INIT,gnxt,,INIT, , ,
PPCTraceEnabler,gnxt,pten, ,  , , ,
PPDShell.ps,TEXT,LWFU,Laserwriter Utility,Text File,TXT, ,
PPHelp,HELP,SCPG,Personal Press™,Help, , ,
PPIntro.PPob,docu,cnst, ,  , , ,
PPL sample,PPL ,GGP ,Micro•Bridge Companion,  , , ,
ppmquant,APPL,PBMP, ,Application, , ,
PPP,mdev,PPP ,MacPPP,Extension, , ,
PPP,cdev,rmot, ,Control Panel, , ,
PPP FKEY Installer 1.0,APPL,FKI+, ,Application, , ,
PPP Menu,cdev,rsM2,Rockstar Studios,Control Panel, , ,
PPP Menu—Preferences,PREF,rsM2,PPP Menu,Pref, , ,
PPP Password,APPL,Ppas, ,Application, , ,
PPP Status,APPL,aDpP,  ,Application, , ,
PPPAutoDetectDB,pref,fppp,FreePPP,Pref, , ,
PPPfloater,cdev,P3cd, ,Control Panel, , ,
PPPfloater,appe,P3er,Hiroshi Lockheimer,Background Only Application, , ,
PPPop,APPL,pppT,Rob Friefeld,Application, , ,
PPPop 1.3,APPL,pppO,Application, ,,,
PPPop 1.4.1,APPL,pppO, ,Application, , ,
PPPop Prefs,pref,pppO,PPPop,Pref, , ,
PPPop- Going Up,sfil,SSMP,SndSampler™,Sound System 7, , ,
PPPop—Configuration File,Ccfg,pppT,PPPop,, , ,
PPPop—Preferences,pref,pppT,PPPop,Pref, , ,
PPPremier Timer 2.0.3,APPL,nlPZ, ,Application, , ,
PPPremier Timer Preference,pref,nlPZ,PPPremier,Pref, , ,
PPPremier Timere,APPL,nlPZ,Application, ,,,
PPPReport,cdev,EDCN, ,Control Panel, , ,
PPPThang,APPL,PPth, ,Application, , ,
PPro,APPL,Ppro, ,Application, , ,
pPuzzle-J,APPL,ppzl, ,Application, , ,
PR Sample Company,pbCI,CM√3,Payroll,  , , ,
PR Sample Company-DIS,pbTR,CM√3,Payroll,  , , ,
PR Sample Company-EMPL,pbEM,CM√3,Payroll,  , , ,
PR-Terminal (68000)G,APPL,St10, ,Application, , ,
PRam 1.0a1,APPL,PRam, ,Application, , ,
PRAM Auto-Restore,cdev,PrAr, ,Control Panel, , ,
PRAM Battery Checker v1.0,APPL,PObt, ,Application, , ,
Pram Fix,INIT,bbmc,,INIT, , ,
PRAM-5.0,APPL,PRAM, ,Application, , ,
PRAM-Content 14/7/98,PRam,PRRd,PRAM-Reader-12, , , ,
PRAM-Reader,APPL,PRRD, ,Application, , ,
PRAM-Reader V1.2 (fat),APPL,PRRd, ,Application, , ,
PRAMInspector,APPL,PrAm, ,Application, , ,
PramSet,cdev,PSet, ,Control Panel, , ,
Pratique de TCF2,RTXT,ITXT,InfoText,  , , ,
Praxis 1.5,APPL,GCoy, ,Application, , ,
Praxisoft C2 EPS Library,shlb,Prax,"Praxisoft, LLC",Shared Library,, ,
Pre Launch,APPL,PRLN, ,Application, , ,
Pre Version™,cdev,ELPV, ,Control Panel, , ,
Pre-Lister,APPL,GLpl,Black Magik Software,Application,,,
Pre-Lister—ARC Compressed File,pARC,GLpl,Pre-Lister,,,,
Pre-Lister—GIF Format Graphics File,GIFf,GLpl,Pre-Lister,Graphics GIF,GIF,,
Pre-Lister—JPEG Format Graphics File,JFIF,GLpl,Pre-Lister,Graphics JFIF/JPEG,JPG,,
Pre-Lister—JPEG Format Graphics File,JPEG,GLpl,Pre-Lister,Graphics JPEG,JPG,,
Pre-Lister—Print File,Prnt,GLpl,Pre-Lister,,,,
Pre-Lister—Text File,TEXT,GLpl,Pre-Lister,Text File,TXT,,
PREC Manager,APPL,QD19, ,Application, , ,
Precision Cribbage™,APPL,CRIB, ,Application, , ,
Preditor 3.0a7 ,APPL,TCEd, ,Application, , ,
Preditor Help,PHlp,TCEd,Preditor,Help, , ,
Preditorize,APPL,TCPi, ,Application, , ,
Pref,Pref,ATL2,Atlantis,Pref, , ,
Pref Killer.68K,APPL,PfKl, ,Application, , ,
PreFab Player™,appe,PFPl, ,Background Only Application, , ,
Preference Packer,APPL,ppac,SP Extreme,Application, , ,
PreferenceMover,APPL,TxPM, ,Application, , ,
Preferences,AIPP,AIPS,Graftek Ultimage,  , , ,
Preferences,pref,AOms,America Online 2.7,Pref, , ,
Preferences,PREF,dabs,Biorhythm II,Pref, , ,
Preferences,Dprf,DDtb,Thunderbolt™,  , , ,
Preferences,APPL,LCSJ, ,Application, , ,
Preferences,fapf,MACS,System document,System, , ,
Preferences,Pref,oBha,HP LaserJet,Pref, , ,
Preferences,Pref,PwrF,ACTION Files™,Pref, , ,
preferences,Pref,SaS6,The SAS System,Pref, , ,
Preferences,Setg,VPvc,Virtuoso,  , , ,
Preferences,pref,WEBX, ,Pref, , ,
Préférences Sapristi,pref,SAP!,Sapristi,Pref,,,
Preferenze di MacFont,PREF,mFnt,MacFont,Pref, , ,
Prefix Checker1.1.0,APPL,PfCk, ,Application, , ,
Preflight Designer—Data File,Dat1,Cbra,Preflight Designer,Data File, , ,
Preflight Designer—Disk File,disk,Cbra,Preflight Designer,Disk File, , ,
Preflight Designer—Preferences,Pref,Cbra,Preflight Designer,pref , , ,
Preflight Pro 2.0,APPL,Huey,Extensis Corporation,Application, , ,
Preflight Pro 2.0—Data File,Dat1,Huey,Preflight Pro 2.0,Data File, , ,
Preflight Pro 2.0—Disk File,disk,Huey,Preflight Pro 2.0,Disk File, , ,
Preflight Pro 2.0—Folder File,fold,Huey,Preflight Pro 2.0,Folder File, , ,
Preflight Pro 2.0—Job File,Dat2,Huey,Preflight Pro 2.0,Data File, , ,
Preflight Pro 2.0—PDF Set,PDFS,Huey,Preflight Pro 2.0,, , ,
Preflight Pro 2.0—Plug-in,modu,Huey,Preflight Pro 2.0,Plug-in Module, , ,
Preflight Pro 2.0—Preferences,Pref,Huey,Preflight Pro 2.0,Pref, , ,
PreFlite,APPL,PFLI, ,Application, , ,
Prefs,oipf,CD[],CD-square,  , , ,
Prefs,QPRF,QUIC,QuillConvert,Pref, , ,
Prefs,Sc1p,Scn1,Scenario,  , , ,
PREFS.IMS,OFS ,MGLN, ,  , , ,
Prefs.NES,TEXT,NESC,NES Connect,Text File,TXT, ,
PrefsCleaner 1.1,APPL,Prç¬, ,Application, , ,
PrefsOverload,APPL,ZIK!,Angelo Scicolone,Application/Dup, ,Dup,
PrefsOverload—Preferences,TEXT,ZIK!,PrefsOverload,Pref,TXT, ,
Premiere Convolutions,Conv,PrMr,Premiere™,  , , ,
Premiere Edition,PROD,shop,Software Dispatch,  , , ,
Premiere Logo.pict,PICT,CPIC, ,Graphics PICT,PIC, ,
Premiere Pres.,PRDF,CRPR,Cricket Presents,  , , ,
Premiere* 5.x—????,BRPC,PrMr,Premiere™,, , ,
Premiere* 5.x—????,CmpM,PrMr,Premiere™,, , ,
Premiere* 5.x—????,PlyM,PrMr,Premiere™,, , ,
Premiere* 5.x—????,RecM,PrMr,Premiere™,, , ,
Premiere* 5.x—Import File,IMPT,PrMr,Premiere™,, , ,
Premiere* 5.x—Motions File,Mot5,PrMr,Premiere™,,, ,
Premiere* 5.x—TARGA Format Graphics File,TPIC,PrMr,Premiere™,Graphics TARGA,TGA, ,
Premiere* 5.x—TIFF Format Graphics File,TIFF,PrMr,Premiere™,Graphics TIFF,TIF, ,
Premiere* 5.x—Title File,Ttl5,PrMr,Premiere™,, , ,
Premiere4.0 CRAC!,APPL,Cbop, ,Application, , ,
Premiere™—????,8BPS,PrMr,Premiere™,Graphics Photoshop,PSD, ,
Premiere™—????,SBs†,PrMr,Premiere™,  , , ,
Premiere™—AIFC Sound File,AIFC,PrMr,Premiere™,Sound AIFF-C, , ,
Premiere™—Batch File,BATC,PrMr,Premiere™,  , , ,
Premiere™—Colors Set File,SETG,PrMr,Premiere™,  , , ,
Premiere™—Film File,Film,PrMr,Premiere™,  , , ,
Premiere™—Illustrator™ Converter,HDLR,PrMr,Premiere™,  , , ,
Premiere™—Key Definitions,Func,PrMr,Premiere™,  , , ,
Premiere™—Library,LIBR,PrMr,Premiere™,Library, , ,
Premiere™—Mesh File,MESH,PrMr,Premiere™,  , , ,
Premiere™—Motions File,Mot2,PrMr,Premiere™,,, ,
Premiere™—Movie Segment,ExpD,PrMr,Premiere™,  , , ,
Premiere™—PhotoShop File,8BIM,PrMr,Premiere™,Graphics Photoshop,PSD, ,
Premiere™—PICT Animation File,PICS,PrMr,Premiere™,Animation PICS, , ,
Premiere™—Presets File,PRST,PrMr,Premiere™,  , , ,
Premiere™—Sequence File,SQNC,PrMr,Premiere™,  , , ,
Premiere™—SoundEdit File,FSSD,PrMr,Premiere™,Sound, , ,
Premiere™—Special Effect,SPFX,PrMr,Premiere™,  , , ,
Premiere™—System 7 Sound File,sfil,PrMr,Premiere™,Sound System 7, , ,
Premiere™—Text File,TEXT,PrMr,Premiere™,Text File,TXT, ,
Premiere™—Title,Titl,PrMr,Premiere™,  , , ,
Premiere™—Transition,Botl,PrMr,Premiere™,  , , ,
Premiere™—Wipe,EDLC,PrMr,Premiere™,  , , ,
Premier™—Title File,Ttl1,PrMr,Premiere™,  , , ,
PREMISE,APPL,WP10, ,Application, , ,
PREMISE—Alias,alis,WP10,PREMISE,Alias file, , ,
PREMISE—Help,HELP,WP10,PREMISE,Help, , ,
PREMISE—Project File,PROJ,WP10,PREMISE,  , , ,
PREMISE—Text File,TEXT,WP10,PREMISE,Text File,TXT, ,
Prentice Hall Order Assistant,APPL,Ph~`,  ,Application, , ,
Prentice Hall Order Asssistant Order,PH~`,PH~`,Prentice Hall Order Assistant, , , ,
Presence Editor—Text File,TEXT,aChU,Presence Editor,Text File,TXT, ,
Present,APPL,FDPM, ,Application, , ,
Presentation Runtime,APPL,FDPR, ,Application, , ,
Presentations Prompter,APPL,PRPT,NextForce Software,Application,,,
Presentations Prompter—Docuement,PRPT,PRPT,Presentations Prompter,,,,
Presentations Prompter—Theme File,THME,PRPT,Presentations Prompter,,,,
Presenter 1.5.1,APPL,DMNc, ,Application, , ,
Presenter 3D LE—[Unidentified File Type],DMNf,VDoz,Presenter,,,,
Presenter 3D LE—Anchor Point File,ANKR,VDoz,Presenter,,,,
Presenter 3D LE—Filter?,Xfls,VDoz,Presenter,,,,
Presenter 3D LE—Jobs File,JOBS,VDoz,Presenter,,,,
Presenter 3D LE—Tool Plug-in,TooL,VDoz,Presenter,,,,
Presenter 3D LE—Video File?,VID0,VDoz,Presenter,,,,
Presenter Materials,rsrc,DMNc,Presenter,Resource, , ,
PresenterActive,APPL,GLPA,"GLUON, Inc.",Application,,,
PresenterActive—Folder File,fold,GLPA,PresenterPlayer,Folder File,,,
PresenterActive—Plug-in,trPG,GLPA,PresenterPlayer,Plug-in Module,,,
PresenterActive—Set File,sSET,GLPA,PresenterPlayer,,,,
PresenterActive—Settings File,pSET,GLPA,PresenterPlayer,,,,
PresenterPlayer,APPL,GLPa,"GLUON, Inc.",Application,,,
PresentIt,APPL,myp1, ,Application, , ,
PresentItPrefs,pref,myp1,PresentIt,Pref, , ,
Presents Help,CRHP,CRPR,Cricket Presents,  , , ,
Presents Main Dictionary,DMan,CDic, ,Dictionary, , ,
Presents Thesaurus,Thes,CDic, ,Thesaurus, , ,
Presents User Dictionary,DUsr,CDic, ,Dictionary, , ,
PresetManager,TEXT,HMSL,FMSound,Text File,TXT, ,
presets,Wave,x2x2,turbulence,sound WAV,WAV, ,
Presidents3000,APPL,P3Kw,"Ken Winograd, Space-Time Associates",Application,, ,
Presidents3000—Data File,pref,P3Kw,Presidents3000,Pref,, ,
Presidents3000—Data File,pref,S3Kw,States3000,Pref,, ,
Press Releases 5-7,APPL,stnd, ,Application, , ,
PressKey Helper,APPL,prEs,,Application, , ,
PressWriter,APPL,PsPW,Brøderbund Inc.,Application,, ,
PressWriter—Art Deco.ss,PsST,PsPW,PressWriter,,, ,
PressWriter—Document,PsQL,PsPW,PressWriter,,, ,
Prestissimo 1.5,APPC,ApSC,  ,Control Panels Application, , ,
Presto! PageManager,APPL,PM20,,Application, , ,
Presto! PageManager,APPL,POPM,NewSoft,Application, , ,
Presto! PageManager—????,POAM,POPM,Presto! PageManager,  , , ,
Presto! PageManager—????,POIM,POPM,Presto! PageManager,  , , ,
Presto! PageManager—????,POTP,POPM,Presto! PageManager,  , , ,
Presto! PageManager—????,POFL,POPM,Presto! PageManager, ,,,
Presto! PageManager—????,POIP,POPM,Presto! PageManager, ,,,
Presto! PageManager—????,POTC,POPM,Presto! PageManager, ,,,
Presto! PageManager—Document,PFC ,PM20,Presto! PageManager,, , ,
Presto! PageManager—InTray,POFL,POPM,Presto! PageManager,  , , ,
Presto! PageManager—JPEG File,JPEG,PM20,Presto! PageManager,Graphics JPEG,JPG, ,
Presto! PageManager—JPEG File,JPEG,POPM,Presto! PageManager,Graphics JPEG,JPG, ,
Presto! PageManager—PCX Graphics File,PCX ,PM20,Presto! PageManager,Graphics PCX,PCX, ,
Presto! PageManager—PICT File,PICT,PM20,Presto! PageManager,Graphics PICT,PIC, ,
Presto! PageManager—PICT File,PICT,POPM,Presto! PageManager,Graphics PICT,PIC, ,
Presto! PageManager—Plugin,POIP,POPM,Presto! PageManager,  , , ,
Presto! PageManager—Preferences,PREF,POPM,Presto! PageManager,Pref, , ,
Presto! PageManager—Recore™ 3.0 Engine,POTC,POPM,Presto! PageManager,  , , ,
Presto! PageManager—Text File,TEXT,POPM,Presto! PageManager,Text File,TXT, ,
Presto! PageManager—TIFF File,TIFF,PM20,Presto! PageManager,Graphics TIFF,TIF, ,
Presto! PageManager—TIFF File,TIFF,POPM,Presto! PageManager,Graphics TIFF,TIF, ,
Presto! PageManager—WIndows Bitmap File,BMP ,PM20,Presto! PageManager,Graphics BMP,BMP, ,
PreStuff,APPL,PST!, ,Application, , ,
Pretty Good Pornography 3.0,APPL,PORN, ,Application, , ,
Pretty Scroll,APPL,PrSc,Johnny C N Lee,Application, , ,
Pretty Scroll,cdev,PrSc, ,Control Panel, , ,
Pretty Scroll,INIT,PrSc,Johnny C N Lee,INIT, , ,
Pretty thoughts,INIT,nICe,,INIT, , ,
PrettyC 1.51,APPL,niCe, ,Application, , ,
PrettyPrint,APPL,PRPR, ,Application, , ,
Pretzel,APPL,PRTZ, ,Application, , ,
Prevention,cdev,Pnx3, ,Control Panel, , ,
Preview,PRES,PRVW,Printer Driver (?),Chooser Extension, , ,
Preview 1.4 PPC,APPL,ABVE, ,Application, , ,
Preview 1.7,PRER,PREV, ,Chooser Extension, , ,
